,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
0,52.8,52.8,434.48,52.8,381.68
1,327.18,327.18,1264.05,327.18,936.87
2,177.68,177.68,3861.29,1243.73,373.94
3,38.96,38.96,140.0,38.96,101.04
4,101.71,101.71,344.83,203.42,70.71
5,49.41,49.41,474.14,98.82,187.66
6,5323.76,5323.76,14000.0,5323.76,8676.24
7,38.96,38.96,283.5,116.88,55.54
8,517.89,517.89,1615.0,517.89,1097.11
9,517.89,517.89,1615.0,517.89,1097.11
10,517.89,517.89,1615.0,517.89,1097.11
11,0.0,586.32,1615.0,586.32,1028.68
12,0.0,586.32,1615.0,586.32,1028.68
13,0.0,86.22,1485.25,86.22,1399.03
14,0.0,742.05,2095.25,742.05,1353.2
15,51.73,149.6,481.25,397.08,42.9
16,124.0,124.0,1542.56,248.0,647.28
17,0.0,141.9,375.0,425.69,-16.9
18,0.0,78.7,4106.5,393.48,742.6
19,0.0,75.77,5749.1,530.41,745.53
20,27.43,27.43,1489.05,82.29,468.92
21,147.76,147.76,2815.59,443.27,790.77
22,259.35,259.35,718.52,259.35,459.17
23,332.65,332.65,898.25,332.65,565.6
24,0.36,0.36,3000.0,0.72,1499.64
25,1081.89,1081.89,5544.0,3245.66,766.11
26,124.0,124.0,2425.0,620.0,361.0
27,44.14,44.14,2250.0,264.83,330.86
28,489.39,489.39,4010.92,978.77,1516.07
29,305.44,305.44,38979.6,9163.18,993.88
30,295.24,295.24,5136.22,1771.42,560.8
31,305.44,305.44,38979.6,9163.18,993.88
32,178.6,178.6,601.23,178.6,422.63
33,68.95,68.95,1505.0,689.45,81.56
34,78.32,78.32,2159.6,783.24,137.64
35,5.76,5.76,382.1,5.76,376.34
36,45.01,45.01,485.23,45.01,440.22
37,289.05,289.05,945.0,289.05,655.95
38,64.85,64.85,10384.0,2594.17,194.75
39,0.0,161.73,938.53,161.73,776.8
40,0.0,1509.14,38160.0,4527.42,11210.86
41,101.71,101.71,5572.89,915.42,517.5
42,0.0,81.91,5050.8,819.14,423.17
43,0.0,497.54,10624.0,3980.31,830.46
44,0.0,98.76,1198.1,197.51,500.3
45,140.29,140.29,803.0,140.29,662.71
46,181.88,181.88,1570.5,363.75,603.38
47,249.89,249.89,1231.7,499.77,365.96
48,48.56,48.56,1540.8,194.24,336.64
49,0.0,195.26,2150.0,195.26,1954.74
50,85.29,85.29,2655.0,426.47,445.71
51,220.0,220.0,385.0,220.0,165.0
52,211.36,211.36,500.0,211.36,288.64
53,242.48,242.48,1671.0,484.95,593.02
54,235.56,235.56,1791.0,471.13,659.94
55,0.0,319.8,1264.25,319.8,944.45
56,0.0,313.8,1264.25,313.8,950.45
57,44.7,44.7,2420.0,178.8,560.3
58,4.02,4.02,337.7,4.02,333.68
59,69.23,69.23,1116.28,138.46,488.91
60,69.23,69.23,1116.28,138.46,488.91
61,556.14,556.14,4236.0,1668.42,855.86
62,447.68,447.68,3564.0,1343.05,740.32
63,95.82,95.82,3978.0,574.91,567.18
64,158.4,158.4,991.6,316.8,337.4
65,272.65,272.65,17420.0,2181.22,1904.85
66,161.63,161.63,1010.46,323.25,343.6
67,105.68,105.68,3940.4,422.72,879.42
