FECHA_DOC,COSTO_TOTAL_CALCULADO
2022-12-23,4579.08
2022-12-23,390.43
2022-12-23,153.49
2022-12-23,1767.02
2022-12-23,369.62
2022-12-23,130.63
2022-12-23,572.25
2022-12-23,843.82
2022-12-23,954.32
2022-12-23,613.88
2022-12-23,628.12
2022-12-23,1789.64
2022-12-23,1884.35
2022-12-23,806.55
2022-01-28,113.22
2022-01-28,742.57
2022-01-28,480.08
2022-01-28,1108.78
2022-01-28,134.84
2022-01-28,71.25
2022-01-28,75.89
2022-12-20,3722.84
2022-12-20,651.57
2022-12-20,198.93
2022-12-20,3417.8
2022-12-20,1376.26
2022-12-20,1160.05
2022-12-20,1181.01
